BARCODE,DESCRIPTION,CODE
0000080879190,LOACKER WAFER CUBE CHOCOLATE 12X54G,LK4214
8000380005918,LOACKER NAPOLITANER 12X125G,LK3531
8000380005949,LOACKER QUAD.VANILLLE 12X125G,LK3530
8000380005925,LOACKER COCONUT12X125G,LK3533
8000380142460,LOACKER QUAD DARK CHOCOLATE 12X125G,LK3529
8000380005963,LOACKER CHOCOLATE 12X125G,LK3532
8000380205486,LOACKER QUADRATINI PEANUT 12X125G,LK4107
8000380004676,LOACKER QUADRATINI MILK VANILLA 200GR,LK3525
8000380158294,LOACKER RASPBERRY 18X220G,LK3473
8000380004881,LOACKER QUADRATINI TIRAMISU 220GR,LK3527
8000380191628,LOACKER QUADRATINI MATCHA  220 G,LK3474
8000380004911,LOACKER QUADRATINI NAPOLITANE 250GR,LK3535
8000380004942,LOACKER QUADRATINI VANILLA 250G,LK3537
8000380004928,LOACKER QUADRATINI COCONUT 250G,LK3538
8000380192588,LOACKER QUADRATINI DBLE CHOC 250G,LK3612
8000380142484,LOACKER QUADRATINI DARK CHOCO 250G,LK3539
8000380004966,LOACKER QUADRATINI KAKAO 250GR,LK3536
8000380180745,LOACKER QUADRATINI COCOA & MILK QUAD 250G,LK3540
8000380154173,LOACKER QUADRATINI 275GX18 NAPOLITANER,LK3381
0000080001287,LOACKER GARDENA HAZELNUT 38GR,LK3509
0000080001911,LOACKER GARDENA WHITE HAZELNUT 38G,LK3801
0000080001461,LOACKER GARDENA CHOCOLATE 38GR,LK3409
0000080001485,LOACKER GARDENA COCONUT 38GR,LK3406
0000080864059,LOACKER GARDENA PEANUT 38G,LK4102
8000380152704,LOACKER GARDENA HAZELNUT MINIS 125G,LK3573
8000380181032,LOACKER GARDENA WHITE HAZELNUT  MINIS 125G,LK3571
8000380152728,LOACKER GARDENA CHOCOLATE MINIS 125G,LK3572
8000380005284,LOACKER GARDENA HAZELNUT 38GRX5,LK3569
8000380141913,LOACKER GARDENA CHOCOLATE 5X38G,LK3469
8000380144013,LOACKER GARDENA COCONUT 5X38G,LK3466
8000380144044,LOACKER GARDENA CHOCOLATE 200G,LK3579
8000380007257,LOACKER GARDENA HAZELNUT 200GR,LK3578
8000380154791,LOACKER PATISSERIE TORTINA 21GX3X12 ORI,LK3364
0000080001027,LOACKER TORTINA ORIGINAL 21GR,LK3503
0000080001799,LOACKER TORTINA WHITE 21G,LK3504
0000080854357,LOACKER TORTINA TRIPLE DARK 21G,LK3613
0000080820970,LOACKER TORTINA CARAMEL 21G,LK3620
0000080809265,LOACKER TORTINA PEANUT 21G,LK4104
8000380000388,LOACKER TORTINA 90GR,LK3415
8000380106028,LOACKER TORTINA BISCUITS 125GR,LK3510
8000380153534,LOACKER TORTINA WHITE 125G,LK3515
8000380201396,LOACKER TORTINA CARAMEL 126G,LK3621
8000380207183,LOACKER TORTINA PEANUT 126G,LK4106
8000380197507,LOACKER GP TORTINA SELC PUCH 15X189G,LK3489
0000080940272,LOACKER BREAK3 HAZELNUT 19G,LK4113
8000380215799,LOACKER BREAK3 HAZN MULTIPCK 4X19G,LK4110
8000380214815,LOACKER CHOCLTERIE DRK 10X(4X17.5G),LK4325
0000080820994,LOACKER CHOC BAR STRACCIATELLA 12X50G,LK3402
