CODE,CUSTOMER,SHORT_NAME
A047-521,ADNOC 717-WATHBA NORTH BANIYAS ALAIN ROAD,ADNOC 717
A047-527,ADNOC 718-AJBAN SHAMHA,ADNOC 718
A047-518,ADNOC 719-AL DAR NR BANIYAS C4,ADNOC 719
A047-536,"ADNOC 723-SEIH AL SEDIRAH EAST AD,DXB BORDER EMIRATE ROAD",ADNOC 723
A047-535,"ADNOC 724-SEIH AL SEDIRA-WEST AD ,DXB BORDER EMIRATES ROAD",ADNOC 724
A047-537,ADNOC 726-AL SHAMKHA SHAMKHA - LULU SHAWAMEKH,ADNOC 726
A047-020,ADNOC 754-SHAWAMEKH 1-MAFRA NR SHAWAMEKH,ADNOC 754
A047-021,ADNOC 755-SHAWAMEKH 2-DXB-M,ADNOC 755
A047-958,ADNOC 782-EMBASSY AREA-AUH NR PEPSI W/H,ADNOC 782
A047-117,ADNOC 786-AL ITHIHAD-AUH NR MUROOR,ADNOC 786
A047-123,ADNOC 794-POLICE COLLEGE-AD OPP MUROOR,ADNOC 794
A047-121,ADNOC 795-AL ZAAB S/S A/D NR BUTIN COOP,ADNOC 795
A047-133,ADNOC 796-AL KHALEEJ AL ARA OPP MUSHRIF COOP,ADNOC 796
A047-010,ADNOC 811-GHANTOOT F/S-DXB- GANTHOOT DUBAI ROAD,ADNOC 811
A047-095,ADNOC 861-NEW AL SHAHAMA F/ OPP SHAHAMA C4,ADNOC 861
A047-013,ADNOC 887-SAMHA REST AREA-1 SHAMHA DUBAI ROAD,ADNOC 887
A047-014,ADNOC 888-SAMHA REST AREA-2 SHAMHA DUBAI ROAD,ADNOC 888
A047-183,ADNOC 890-AL WATHBA S/S WATHBA NR ZAID FESTIVAL CITY,ADNOC 890
A047-011,ADNOC 891-AL FAYA F/S-ADH-A AL FAYA ALAIN ROAD,ADNOC 891
A047-012,ADNOC 892-CAR CARE CENTRE-MUSSAFFAH,ADNOC 892
A047-966,ADNOC 912-AIRPORT RD-AUH NR ETISALAT,ADNOC 912
A047-097,ADNOC 914-AL MATAR ADH NR ALSAQR C4,ADNOC 914
A047-952,ADNOC 915-SALAM ST NR EMIRATES S/M,ADNOC 915
A047-015,ADNOC 917-AL QALAA-MAFRAQ-A MAHAWI,ADNOC 917
A047-018,ADNOC 918-AL SAADA-AIRPORT,ADNOC 918
